description	price	prime	link	stars
ACEPC Mini PC,8GB RAM + 256GB ROM,Intel Celeron J4125,Supporto 2.5'' SATA SSD/HDD, Windows 10 Pro(64-bit),Dual WiFi 2.4/5G,Bluetooth 4.2,4K HD,2 HDMI+1 VGA Porta,AK3 Mini Computer Desktop	269,90	True	https://www.amazon.it/ACEPC-Celeron-Supporto-Bluetooth-Computer/dp/B08M5TWJ9P/ref=sr_1_34?dchild=1&keywords=computer&qid=1606071414&sr=8-34 <view-source:https://www.amazon.it/ACEPC-Celeron-Supporto-Bluetooth-Computer/dp/B08M5TWJ9P/ref=sr_1_34?dchild=1&keywords=computer&qid=1606071414&sr=8-34>	3,8
Portatile PC Convertibile, BMAX Y11 Notebook 11,6 Pollici, 360° Touchscreen Laptop 1920*1080P FHD Display (Intel Quad Core N4120, 8 GB di RAM, SSD da 256 GB, Windows 10 ) Totalmente Metallico, BT4.2	399,00	True	https://www.amazon.it/Y11-Notebook-Touchscreen-Totalmente-Metallico/dp/B07WF7571B/ref=sr_1_35?dchild=1&keywords=computer&qid=1606071414&sr=8-35 <view-source:https://www.amazon.it/Y11-Notebook-Touchscreen-Totalmente-Metallico/dp/B07WF7571B/ref=sr_1_35?dchild=1&keywords=computer&qid=1606071414&sr=8-35>	4,1
Virtual Revolution	Null	False	https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.acb5e95a-3e8d-c1b7-67ec-4b5802efd7e5%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07WSHPDLX&ref=sr_1_36&keywords=computer&qid=1606071414&sr=8-36 <view-source:https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.acb5e95a-3e8d-c1b7-67ec-4b5802efd7e5%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07WSHPDLX&ref=sr_1_36&keywords=computer&qid=1606071414&sr=8-36>	4,0
"Hp Ultrabook serie Silver ultraleggero 1,47 Kg Cpu Intel core I5-1035G 10Gen 4 Core, 12Gb Ddr4, SSD M.2 NVME da 256Gb, Display 14"", wi-fi, bt, Win 10 Pro, Pronto all'uso, Garanzia e Tastiera Italiana"	849,77	True	https://www.amazon.it/Ultrabook-ultraleggero-I5-1035G-Garanzia-Tastiera/dp/B08N586WN5/ref=sr_1_37?dchild=1&keywords=computer&qid=1606071414&sr=8-37 <view-source:https://www.amazon.it/Ultrabook-ultraleggero-I5-1035G-Garanzia-Tastiera/dp/B08N586WN5/ref=sr_1_37?dchild=1&keywords=computer&qid=1606071414&sr=8-37>	Null
"Acer Aspire 5 A515-54-P1VY Computer portatile Argento 39,6 cm (15.6"") 1920 x 1080 Pixel Intel Pentium Gold 8 GB DDR4 256 GB SSD Wi-Fi 6, Windows 10 Home S , TASTIERA TEDESCA"	Null	False	https://www.amazon.it/Acer-A515-54-P1VY-Computer-portatile-TASTIERA/dp/B08C7GKP2P/ref=sr_1_38?dchild=1&keywords=computer&qid=1606071414&sr=8-38 <view-source:https://www.amazon.it/Acer-A515-54-P1VY-Computer-portatile-TASTIERA/dp/B08C7GKP2P/ref=sr_1_38?dchild=1&keywords=computer&qid=1606071414&sr=8-38>	4,6
il computer portatile, Entweg F142 Notebook leggero da 14 pollici Notebook Intel Atomx5-Z8300 Processore QuadCore da 1,83 GHz/Memoria DDR3 da 2 GB/HDD da 32 GB Spina UE nera	187,99	False	https://www.amazon.it/computer-portatile-Entweg-Atomx5-Z8300-Processore/dp/B08N3WPGQ3/ref=sr_1_39?dchild=1&keywords=computer&qid=1606071414&sr=8-39 <view-source:https://www.amazon.it/computer-portatile-Entweg-Atomx5-Z8300-Processore/dp/B08N3WPGQ3/ref=sr_1_39?dchild=1&keywords=computer&qid=1606071414&sr=8-39>	Null
"ASUS Chromebook C423NA-EB0287, Notebook in alluminio con Monitor 14"" FHD Anti-Glare, Intel Celeron N3350, RAM 4GB LPDDR4, 64G eMMC, Sistema operativo Chrome, Argento [CB]"	Null	False	https://www.amazon.it/ASUS-Chromebook-C423NA-EB0287-alluminio-Anti-Glare/dp/B086TLPRXF/ref=sr_1_40?dchild=1&keywords=computer&qid=1606071414&sr=8-40 <view-source:https://www.amazon.it/ASUS-Chromebook-C423NA-EB0287-alluminio-Anti-Glare/dp/B086TLPRXF/ref=sr_1_40?dchild=1&keywords=computer&qid=1606071414&sr=8-40>	4,1
Notebook Samsung NP600 14 pollici Intel Core i5-2520M 2,50GHz 4GB Ram 500GB HDD DVD Win 10 Pro - Grado A - Webcam (Ricondizionato)	319,00	False	https://www.amazon.it/Notebook-Samsung-NP600-pollici-i5-2520M/dp/B08N128QD8/ref=sr_1_41?dchild=1&keywords=computer&qid=1606071414&sr=8-41 <view-source:https://www.amazon.it/Notebook-Samsung-NP600-pollici-i5-2520M/dp/B08N128QD8/ref=sr_1_41?dchild=1&keywords=computer&qid=1606071414&sr=8-41>	1,0
"HP - PC 14-ds0014nl Stream Notebook, AMD A4-9120e, RAM 4 GB, eMMC 64 GB, Windows 10 Home S, Schermo 14"" HD SVA Antiriflesso, Office 365 Incluso 1 Anno, USB, HDMI, RJ45, Webcam, Nero"	Null	False	https://www.amazon.it/HP-14-ds0014nl-Notebook-Dual-Core-Antiriflesso/dp/B082YMDDF9/ref=sr_1_42?dchild=1&keywords=computer&qid=1606071414&sr=8-42 <view-source:https://www.amazon.it/HP-14-ds0014nl-Notebook-Dual-Core-Antiriflesso/dp/B082YMDDF9/ref=sr_1_42?dchild=1&keywords=computer&qid=1606071414&sr=8-42>	3,6
"MSI Modern 15 A10M-275IT, 15,6"" FHD IPS-Level, Intel Core I5-10210U, 8GB RAM DDR4 2666MHz, 512GB SSD M.2 PCIe, UMA, Win 10 Home [Layout e Garanzia Italiane], Onyx Black (Brushline)"	879,00	True	https://www.amazon.it/MSI-A10M-275IT-IPS-Level-I5-10210U-Brushline/dp/B08C9YKN1M/ref=sr_1_43?dchild=1&keywords=computer&qid=1606071414&sr=8-43 <view-source:https://www.amazon.it/MSI-A10M-275IT-IPS-Level-I5-10210U-Brushline/dp/B08C9YKN1M/ref=sr_1_43?dchild=1&keywords=computer&qid=1606071414&sr=8-43>	3,8
Hp 255 G7 Notebook HP Display da 15.6”, CPU AMD A4-9125, Ram 4Gb DDR4 SSD M.2 256 Gb, Radeon R3, Pc portatile HP, HDMI, DVD CD RW, Wi Fi,Bluetooth, Windows 10 Professional	Null	False	https://www.amazon.it/255-G7-HP-portatile-Professional/dp/B086C38DDK/ref=sr_1_44?dchild=1&keywords=computer&qid=1606071414&sr=8-44 <view-source:https://www.amazon.it/255-G7-HP-portatile-Professional/dp/B086C38DDK/ref=sr_1_44?dchild=1&keywords=computer&qid=1606071414&sr=8-44>	4,3
Computer portatile Teclas F7S 14.1 1920x1080 IPS Notebook 8 GB RAM 128 GB ROM Laptop Windows 10 Computer Intel Apollo Lake Dual Wifi	339,00	False	https://www.amazon.it/Computer-portatile-F7S-1920x1080-Notebook/dp/B08H58TQSW/ref=sr_1_45?dchild=1&keywords=computer&qid=1606071414&sr=8-45 <view-source:https://www.amazon.it/Computer-portatile-F7S-1920x1080-Notebook/dp/B08H58TQSW/ref=sr_1_45?dchild=1&keywords=computer&qid=1606071414&sr=8-45>	2,0
HP 250 G7 SSD Notebook PC, Cpu Intel Core i3 di 10 gen. fino a 3,4 GHz, display 15.6 HD LED, SSd Nvme da 256 Gb, 12 GB Ram, Bt, wi-fi, DVD/CD, Webcam, Win10 Pro 64 , pronto all'uso, Garanzia Italia	749,77	True	https://www.amazon.it/Notebook-display-Webcam-pronto-Garanzia/dp/B089H1BYHT/ref=sr_1_46?dchild=1&keywords=computer&qid=1606071414&sr=8-46 <view-source:https://www.amazon.it/Notebook-display-Webcam-pronto-Garanzia/dp/B089H1BYHT/ref=sr_1_46?dchild=1&keywords=computer&qid=1606071414&sr=8-46>	4,4
Honor MagicBook 14 Mystic Silver, Full HD IPS, Ryzen 5 3500U, 8 Gb RAM, 256GB SSD, Radeon Vega 8, Windows 10, 35.56 cm	689,77	True	https://www.amazon.it/MagicBook-Mystic-Silver-Radeon-Windows/dp/B0868XTQHJ/ref=sr_1_47?dchild=1&keywords=computer&qid=1606071414&sr=8-47 <view-source:https://www.amazon.it/MagicBook-Mystic-Silver-Radeon-Windows/dp/B0868XTQHJ/ref=sr_1_47?dchild=1&keywords=computer&qid=1606071414&sr=8-47>	4,5
AUKEY Webcam 1080p Full HD con Microfono Stereo Riduzione del Rumore Web Camera USB Computer Camera per PC Laptop Desktop Videochiamata, Conferenza	39,99	True	https://www.amazon.it/AUKEY-Microfono-Riduzione-Videochiamata-Conferenza/dp/B08K37BQV8/ref=sr_1_48?dchild=1&keywords=computer&qid=1606071414&sr=8-48 <view-source:https://www.amazon.it/AUKEY-Microfono-Riduzione-Videochiamata-Conferenza/dp/B08K37BQV8/ref=sr_1_48?dchild=1&keywords=computer&qid=1606071414&sr=8-48>	5,0
2k Webcam HD 1440P Con Microfono Stereo, Webcam PC Laptop Desktop Computer,Con Copertura Di Protezione Dei Dati e Treppiede, USB Webcam Per Lo Streaming Di Computer,Videochiamate, Conferenze,Studi	34,99	True	https://www.amazon.it/Microfono-Copertura-Protezione-Videochiamate-Conferenze/dp/B08CGX5PWD/ref=sr_1_49?dchild=1&keywords=computer&qid=1606071414&sr=8-49 <view-source:https://www.amazon.it/Microfono-Copertura-Protezione-Videochiamate-Conferenze/dp/B08CGX5PWD/ref=sr_1_49?dchild=1&keywords=computer&qid=1606071414&sr=8-49>	4,8
"MSI PRO 16 Flex 8GL-054EU Schermo Touch HD 15.6"",Intel Pentium Silver N4000.256GB M.2.4GB,Intel UHD Graphics 600 Series,Supporta la RJ45 a porta COM,VESA (STD 100 x 100 mm)"	424,99	True	https://www.amazon.it/MSI-PRO-Flex-8GL-054EU-N4000-256GB/dp/B08CY3S367/ref=sr_1_50?dchild=1&keywords=computer&qid=1606071414&sr=8-50 <view-source:https://www.amazon.it/MSI-PRO-Flex-8GL-054EU-N4000-256GB/dp/B08CY3S367/ref=sr_1_50?dchild=1&keywords=computer&qid=1606071414&sr=8-50>	Null
Portatile HP Stream 14-ds0008nf Blu A4-9120e dual 4GB DDR4 64GB eMMC AMD Graphics - UMA 14'' HD slim SVA W10H-MS 1V2L8EA#ABF	309,60	True	https://www.amazon.it/Portatile-HP-14-ds0008nf-A4-9120e-Graphics/dp/B08D9WSJZN/ref=sr_1_51?dchild=1&keywords=computer&qid=1606071414&sr=8-51 <view-source:https://www.amazon.it/Portatile-HP-14-ds0008nf-A4-9120e-Graphics/dp/B08D9WSJZN/ref=sr_1_51?dchild=1&keywords=computer&qid=1606071414&sr=8-51>	2,9
Automan	Null	False	https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.dcb6b2de-8ae3-32df-4f01-200ac71e1869%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07YBQT6KW&ref=sr_1_52&keywords=computer&qid=1606071414&sr=8-52 <view-source:https://www.amazon.it/gp/video/ssoredirect/?ru=https%3A%2F%2Fapp.primevideo.com%2Fdetail%3Fgti%3Damzn1.dv.gti.dcb6b2de-8ae3-32df-4f01-200ac71e1869%26ref_%3Ddvm_src_ret_it_xx_s&page-type-id=B07YBQT6KW&ref=sr_1_52&keywords=computer&qid=1606071414&sr=8-52>	Null
